"","country","gross.country"
"1","Austria",97951209
"2","Belgium and Luxembourg",124398643
"3","Bulgaria",26805367
"4","Croatia",10450726
"5","Czech Republic",74511966
"6","Finland",99378904
"7","France and Algeria, Monaco, Morocco and Tunisia",1356787342
"8","Germany",938242397
"9","Hungary",59591928
"10","Iceland",14816119
"11","Italy",696350478
"12","Lithuania",19945633
"13","Netherlands",306394302
"14","Norway",156998366
"15","Portugal and Angola",82639573
"16","Romania",62306014
"17","Slovakia",29897055
"18","Slovenia",12106507
"19","Spain",657288313
"20","Turkey",216910900
"21","Ukraine",66424777
"22","United Kingdom, Ireland and Malta",1638459648
